"","reads.in","reads.out"
"SRR24359981_1.fastq.gz",5889,5421
"SRR24359982_1.fastq.gz",13192,10710
"SRR24359983_1.fastq.gz",67187,59786
"SRR24359984_1.fastq.gz",2714,1987
"SRR24359985_1.fastq.gz",6938,6311
"SRR24359986_1.fastq.gz",11226,10113
"SRR24359987_1.fastq.gz",10946,9889
"SRR24359988_1.fastq.gz",4788,4333
"SRR24359989_1.fastq.gz",14021,12780
"SRR24359990_1.fastq.gz",9568,8747
"SRR24359991_1.fastq.gz",14058,12885
"SRR24359992_1.fastq.gz",19924,17665
"SRR24359993_1.fastq.gz",15422,13550
"SRR24359994_1.fastq.gz",13674,12257
"SRR24359995_1.fastq.gz",13764,12503
"SRR24359996_1.fastq.gz",12893,11605
"SRR24359997_1.fastq.gz",14997,13854
"SRR24359998_1.fastq.gz",20402,18873
"SRR24359999_1.fastq.gz",8388,7575
"SRR24360000_1.fastq.gz",233,137
"SRR24360001_1.fastq.gz",7907,7258
"SRR24360002_1.fastq.gz",18235,15919
"SRR24360003_1.fastq.gz",15561,12958
"SRR24360004_1.fastq.gz",9920,8982
"SRR24360005_1.fastq.gz",7145,6534
"SRR24360006_1.fastq.gz",4469,4127
"SRR24360007_1.fastq.gz",20350,19168
"SRR24360008_1.fastq.gz",6774,6181
"SRR24360009_1.fastq.gz",12372,11009
"SRR24360010_1.fastq.gz",8995,7282
"SRR24360011_1.fastq.gz",10891,9841
"SRR24360012_1.fastq.gz",5625,4369
"SRR24360013_1.fastq.gz",16868,15110
"SRR24360014_1.fastq.gz",9582,8602
"SRR24360015_1.fastq.gz",3605,3339
"SRR24360016_1.fastq.gz",16880,15814
"SRR24360017_1.fastq.gz",10697,9997
"SRR24360018_1.fastq.gz",6541,6037
"SRR24360019_1.fastq.gz",7127,6428
"SRR24360020_1.fastq.gz",50094,44708
"SRR24360021_1.fastq.gz",11912,10810
"SRR24360022_1.fastq.gz",15916,14526
"SRR24360023_1.fastq.gz",36886,33962
"SRR24360024_1.fastq.gz",12172,11240
"SRR24360025_1.fastq.gz",664,567
"SRR24360026_1.fastq.gz",10303,9100
"SRR24360027_1.fastq.gz",8357,7340
"SRR24360028_1.fastq.gz",7266,6521
"SRR24360029_1.fastq.gz",6145,5590
"SRR24360030_1.fastq.gz",11838,10869
"SRR24360031_1.fastq.gz",8901,8150
"SRR24360032_1.fastq.gz",6972,6379
"SRR24360033_1.fastq.gz",92,49
"SRR24360034_1.fastq.gz",13502,12328
"SRR24360035_1.fastq.gz",64861,59232
"SRR24360036_1.fastq.gz",16378,14781
"SRR24360037_1.fastq.gz",15528,14129
"SRR24360038_1.fastq.gz",17427,15852
"SRR24360039_1.fastq.gz",4961,4537
"SRR24360040_1.fastq.gz",6158,5629
"SRR24360041_1.fastq.gz",14396,13291
"SRR24360042_1.fastq.gz",12343,10919
"SRR24360043_1.fastq.gz",22064,19992
"SRR24360044_1.fastq.gz",14051,12977
"SRR24360045_1.fastq.gz",11921,10472
